,Title,location,Area,Price,Description
0,['27 Marla Double Storey House For Sale In Mehmoodabad Khanewal Road Multan'],"Mehmoodabad, Khanewal Road",1.3 Kanal,2.65 Crore,"If you want to buy a property then don't miss out on this opportunity. 

Take it from us, a House... more"
1,['2.5 Marla Double Storey House Is Available For Sale In Naqshband Colony Multan'],"Naqshband Colony, Multan",2.5 Marla,35 Lakh,"2.5 Marla Double Storey House Is Available For Sale In Naqshband Colony Multan. 

Located In Luxury... more"
2,['3.5 Marla Double Storey House Is Available For Sale In Naqshband Colony Multan'],"Naqshband Colony, Multan",3.5 Marla,45 Lakh,"A Nicely Build 3.5 Marla Double Storey House Is Available For Sale In Naqshband Colony, Multan. 
... more"
3,['10.33 Marla Double Storey House Is Available For Sale In New Shalimar Colony T Chowk Multan'],"New Shalimar Colony, Multan",10.3 Marla,1.4 Crore,"A Nice Build 10.33 Marla Double Storey House Is Available For Sale In New Shalimar Colony, T Chowk,... more"
4,['5 Marla Double Storey House Is Available For Sale In Wapda Town Phase 1 Block E Multan'],"Wapda Town Phase 1 - Block E, Wapda Town Phase 1",5 Marla,95 Lakh,"5 Marla Double Storey House Is Available For Sale In Wapda Town, Phase 1, Block E, Multan. 
... more"
5,['10 Marla Double Storey House For Sale In C Block Of Buch Executive Villas Multan'],"Buch Executive Villas, Multan",10 Marla,1.7 Crore,"This property helps you out for your searches on a Double Storey House. 

Here is a property... more"
6,['15 Marla Double Storey Luxury House Is Available For Sale In Cantt Residencia Askari Bypass Multan'],"Cantt Residencia, Askari Bypass",15 Marla,2.6 Crore,"15 Marla Double Storey Luxury House Is Available For Sale In Cantt Residencia, Askari Bypass,... more"
7,['15 Marla Double Storey House For Sale In Zakariya Town Multan'],"Zakariya Town, Multan",15 Marla,2.25 Crore,"We know you were in for a treat the moment you came across this House. 

Now, hurry and grab this... more"
8,['14 Marla Single Storey House For Sale In New Shalimar Colony Multan'],"New Shalimar Colony, Multan",14 Marla,1.1 Crore,As you are looking for top-notch option in New Shalimar Colony - Multan. Near to Shan Chowk. Here's... more
9,['10 Marla Double Storey Corner House For Sale In Zakaria Town Multan'],"Zakariya Town, Multan",10 Marla,1.4 Crore,"If you really look for a property on a budget within Rs 14,000,000 then check out this one. 

The... more"
10,['6 Marla Installment Villa For Sale'],"DHA Villas, DHA Defence",6 Marla,1 Crore,If you want to buy a property then don't miss out on this opportunity. Looking to building a home... more
11,['Dha Villas 6 Marla Double Storey House For Sale'],"DHA Defence, Multan",6 Marla,1 Crore,"VILLAS ON 3 YEAR INSTALLMENT PLAN. 

6 MARLA(3 BEDROOMS 1994 SQ FT)
9 MARLA(4 BEDROOMS 2751 SQ FT)... more"
12,['A Nicely Build 1 Kanal Brand New Double Storey Luxury House Is Available For Sale'],"Wapda Town Phase 2, Wapda Town",1 Kanal,4.25 Crore,"The demand price is set pretty reasonably at Rs 42500,000/- The House you were looking for is now... more"
13,['A Nicely Build 11 Marla Brand New Double Storey Luxury House Is Available For Sale'],"Wapda Town Phase 1, Wapda Town",11 Marla,2.32 Crore,"The demand price is set pretty reasonably at Rs 23200,000/- The House you were looking for is now... more"
14,['A Nicely Build 11 Marla Brand new Double Story Luxury House is available for sale'],"Wapda Town Phase 1, Wapda Town",11 Marla,2.32 Crore,"The demand price is set pretty reasonably at Rs 232,00,000/- The House you were looking for is now... more"
15,['15 marly double story house for in shalimar colony'],"Shalimar Colony, Multan",15 Marla,2 Crore,"Upper portion half construction and lower portion full construction
Near to main road in shalimar... more"
16,['Brand New Double Storey House At Prime Location'],"Shalimar Colony, Multan",10 Marla,1.26 Crore,"Brand New Double Storey House At Prime Location 
Having 4 Bedrooms 
Drawing room 
6 Bath
2 TV... more"
17,['6 Marla Installment Villa For Sale'],"DHA Villas, DHA Defence",6 Marla,1 Crore,Get yourself a House that suits your needs perfectly. The location of the property in DHA Defence... more
18,['6 Marla Installment Villa For Sale'],"DHA Villas, DHA Defence",6 Marla,1 Crore,The savvy buyers will not say no to buying such a fine property. All your search for 1350  Square... more
19,['12 Marla Installment Villa For Sale'],"DHA Villas, DHA Defence",12 Marla,2.1 Crore,This is why veteran investors and classified buyers pick DHA Defence to buy property. With this... more
20,['12 Marla Installment Villa For Sale'],"DHA Villas, DHA Defence",12 Marla,2.1 Crore,The right property for you in DHA Defence is right within your reach. You simply cannot say no to... more
21,['12 Marla Installment Villa For Sale'],"DHA Villas, DHA Defence",12 Marla,1.9 Crore,A 2700  Square Feet House is the most popular size among property buyers these days in this... more
22,['12 Marla Installment Villa For Sale'],"DHA Villas, DHA Defence",12 Marla,1.9 Crore,It is a perfect bargain so buy this property today. If you are looking to buy some decent property... more
23,['5 Marla  Brand New House  For Sale  Near Model Town Multan Public School Road'],"Multan Public School Road, Multan",5 Marla,80 Lakh,"If you really look for a property on a budget within Rs 8,000,000 then check out this one. This... more"
24,['Great Opportunity For You To Have The Property Of Your Choice'],"DHA Villas, DHA Defence",12 Marla,1.9 Crore,"Double Story, Kitchen 2, Tv Lounge 2, Bath, Geraj, Drawing Room, StoreThe Multan has a high demand... more"
